kalshi_series_ticker,kalshi_series,kalshi_market_ticker,kalshi_market,kalshi_candidate_title_clean,kalshi_district,kalshi_rules_text,kalshi_rules_text_clean,polymarket_series_ticker,polymarket_series,polymarket_market_ticker,polymarket_market,polymarket_group_item_title,polymarket_candidate_title_clean,polymarket_district,polymarket_rules_text,polymarket_rules_text_clean,market_score,series_score,combined_score,date_diff_days,shared_candidate_words,shared_series_words,k_yes_bid,k_yes_ask,k_no_bid,k_no_ask,p_yes_bid,p_yes_ask,p_no_bid,p_no_ask
KXNYCMINWAGE,Will Mamdani raise the minimum wage to $30 before 2027?,KXNYCMINWAGE-27JAN01,Will Mamdani raise the minimum wage to $30 before 2027?,mamdani raise the minimum wage to 30 before 2027,to-30,"If a bill establishing a minimum wage of at least $30 per hour for New York City set to go in effect 2030 or earlier has become law in New York City before Jan 1, 2027, then the market resolves to Yes.
Enactment requires completion of all constitutional and legal requirements for the legislation to become binding law. For standard legislation requiring executive approval, this includes final passage by all required legislative bodies, executive signature OR becoming law despite executive inaction OR successful veto override, and satisfaction of any required waiting periods. For legislation not requiring executive approval, this includes final passage and completion of required waiting periods. For constitutional amendments, this includes passage with required supermajorities and completion of ratification processes. For executive orders, this includes official signature, publication in official government records, and legal effectiveness. Legislative passage without completed executive action, passage by only some required bodies, provisional passage, non-binding resolutions, and draft orders do not constitute enactment. Enactment occurs when all requirements are completed, regardless of pending judicial challenges.","if a bill establishing a minimum wage of at least $30 per hour for new york city set to go in effect 2030 or earlier has become law in new york city before jan 1, 2027, then the market resolves to yes. enactment requires completion of all constitutional and legal requirements for the legislation to become binding law. for standard legislation requiring executive approval, this includes final passage by all required legislative bodies, executive signature or becoming law despite executive inaction or successful veto override, and satisfaction of any required waiting periods. for legislation not requiring executive approval, this includes final passage and completion of required waiting periods. for constitutional amendments, this includes passage with required supermajorities and completion of ratification processes. for executive orders, this includes official signature, publication in official government records, and legal effectiveness. legislative passage without completed executive action, passage by only some required bodies, provisional passage, non-binding resolutions, and draft orders do not constitute enactment. enactment occurs when all requirements are completed, regardless of pending judicial challenges.",74044.0,Will Mamdani raise the minimum wage to $30 before 2027?,667026,Will Mamdani raise the minimum wage to $30 before 2027?,,mamdani raise the minimum wage to 30 before 2027,to-30,"Zohran Mamdani has proposed raising New York City's minimum wage to $30 an hour by 2030. You can read more about that here: https://www.cityandstateny.com/policy/2025/02/mamdani-unveils-30-30-minimum-wage-push-part-mayoral-campaign/403015/?oref=csny-homepage-top-story

This market will resolve to “Yes” if both the following occur:

1. Zohran Mamdani wins the 2025 NYC Mayoral election.

2. A policy is enacted in New York City before December 31, 2026, 11:59 PM ET, which would establish a minimum wage of at least $30 an hour, effective by December 31, 2030, or earlier. 

The policy will be considered to have been enacted if a local or state law is passed, or mayoral executive order is issued which will bring the stated minimum wage into effect within the specified timeframe. The introduction, proposal, or announcement of such a policy without legal enactment will not qualify.

The enactment of a policy that initiates a structured increase of the minimum wage to at least $30 an hour in NYC over the course of several years will qualify for an immediate ""Yes"" resolution, so long as that policy explicitly outlines it will achieve that level by the stated date.

Enactment of limited or temporary pilots which are not formally intended for citywide expansion (e.g., policies that explicitly cover only select boroughs, neighborhoods, or time periods) will not count.

Policies which include limited exceptions—such as such as exceptions for restaurant workers, etc.—will still qualify as long as a general policy of a $30 per hour minimum wage in New York City by 2030 is enacted.

If Mamdani is confirmed to have lost the 2025 NYC Mayoral election by a consensus of credible reporting, or if the stated terms are not satisfied within this market's timeframe, this market will immediately resolve to “No”.

The resolution source for this market will be a consensus of credible reporting.
Specific: Will Mamdani raise the minimum wage to $30 before 2027?","zohran mamdani has proposed raising new york city's minimum wage to $30 an hour by 2030. you can read more about that here: https://www.cityandstateny.com/policy/2025/02/mamdani-unveils-30-30-minimum-wage-push-part-mayoral-campaign/403015/?oref=csny-homepage-top-story this market will resolve to “yes” if both the following occur: 1. zohran mamdani wins the 2025 nyc mayoral election. 2. a policy is enacted in new york city before december 31, 2026, 11:59 pm et, which would establish a minimum wage of at least $30 an hour, effective by december 31, 2030, or earlier. the policy will be considered to have been enacted if a local or state law is passed, or mayoral executive order is issued which will bring the stated minimum wage into effect within the specified timeframe. the introduction, proposal, or announcement of such a policy without legal enactment will not qualify. the enactment of a policy that initiates a structured increase of the minimum wage to at least $30 an hour in nyc over the course of several years will qualify for an immediate ""yes"" resolution, so long as that policy explicitly outlines it will achieve that level by the stated date. enactment of limited or temporary pilots which are not formally intended for citywide expansion (e.g., policies that explicitly cover only select boroughs, neighborhoods, or time periods) will not count. policies which include limited exceptions—such as such as exceptions for restaurant workers, etc.—will still qualify as long as a general policy of a $30 per hour minimum wage in new york city by 2030 is enacted. if mamdani is confirmed to have lost the 2025 nyc mayoral election by a consensus of credible reporting, or if the stated terms are not satisfied within this market's timeframe, this market will immediately resolve to “no”. the resolution source for this market will be a consensus of credible reporting. specific: will mamdani raise the minimum wage to $30 before 2027?",1.0,1.0,1.0,1.0,"2027, mamdani, minimum, raise, to30, wage","2027, 30, mamdani, minimum, raise, wage",16.0,17.0,83.0,84.0,1.0,99.0,1.0,99.0
KXIRANEMBASSY,Will the US reopen its embassy in Iran?,KXIRANEMBASSY-27,"Will the US reopen its embassy in Iran before Jan 1, 2027?",the us reopen its embassy in iran before jan 1 2027,,"If the United States has announced the opening of an embassy or consulate of the United States of America in Iran after Issuance and before Jan 1, 2027, then the market resolves to Yes.
The embassy/consulate must be opened or have a specific date on which it will be opened to be encompassed by the Payout Criterion. It also includes an embassy being re-opened after suspending operations.","if the united states has announced the opening of an embassy or consulate of the united states of america in iran after issuance and before jan 1, 2027, then the market resolves to yes. the embassy/consulate must be opened or have a specific date on which it will be opened to be encompassed by the payout criterion. it also includes an embassy being re-opened after suspending operations.",239804.0,Will the US reopen its embassy in Iran in 2026?,1477848,Will the US reopen its embassy in Iran in 2026?,,the us reopen its embassy in iran,,"This market will resolve to ""Yes"" if the U.S. government announces the reopening/opening of any embassy or consulate in Iran, or if such a reopening/opening is otherwise confirmed, by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

An official announcement made within this market’s timeframe will qualify for a ""Yes"" resolution regardless of whether an actual embassy or consulate opening subsequently takes place within the timeframe.

Any opening of a U.S. embassy or consulate in Iran will qualify regardless of its exact location.

Announcements that do not clearly commit to opening an embassy or consulate, such as general diplomatic statements, exploratory comments, or partial/conditional steps, will not count.

The resolution source will be official statements from the Governments of the U.S.; however, a consensus of credible reporting will also be used.
Specific: Will the US reopen its embassy in Iran in 2026?","this market will resolve to ""yes"" if the u.s. government announces the reopening/opening of any embassy or consulate in iran, or if such a reopening/opening is otherwise confirmed, by december 31, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". an official announcement made within this market’s timeframe will qualify for a ""yes"" resolution regardless of whether an actual embassy or consulate opening subsequently takes place within the timeframe. any opening of a u.s. embassy or consulate in iran will qualify regardless of its exact location. announcements that do not clearly commit to opening an embassy or consulate, such as general diplomatic statements, exploratory comments, or partial/conditional steps, will not count. the resolution source will be official statements from the governments of the u.s.; however, a consensus of credible reporting will also be used. specific: will the us reopen its embassy in iran in 2026?",1.0,1.0,1.0,1.0,"embassy, iran, its, reopen, us","embassy, iran, its, reopen, us",16.0,17.0,83.0,84.0,1.0,99.0,1.0,99.0
KXVOTESAVEAMERICA,When will the Senate vote on the SAVE America Act?,KXVOTESAVEAMERICA-26MAR-MAY01,Will the Senate vote on the SAVE America Act?,the senate vote on the save america act,,"If Senate has conducted any recorded vote on the SAVE America Act before May 1, 2026, then the market resolves to Yes.
This includes:
Roll call votes
Recorded votes
Yea-and-nay votes
Electronic votes (in the House)
Division/standing votes

The following do NOT satisfy the Payout Criterion:
Voice votes where individual member positions are not recorded
Unanimous consent agreements without a recorded vote
Votes in committee (unless the SAVE America Act specifically refers to a committee vote)
Procedural determinations by the presiding officer
Deemed passage without an actual vote

For clarity:
A vote on cloture (Senate) regarding the SAVE America Act DOES satisfy the Payout Criterion
A vote on the rule governing debate of the SAVE America Act (House) DOES satisfy the Payout Criterion if the SAVE America Act specifically refers to that rule
A vote on a motion to proceed to the SAVE America Act (Senate) DOES satisfy the Payout Criterion
A vote on final passage DOES satisfy the Payout Criterion
A vote on an amendment to the SAVE America Act does NOT satisfy the Payout Criterion unless the SAVE America Act specifically refers to that amendment","if senate has conducted any recorded vote on the save america act before may 1, 2026, then the market resolves to yes. this includes: roll call votes recorded votes yea-and-nay votes electronic votes (in the house) division/standing votes the following do not satisfy the payout criterion: voice votes where individual member positions are not recorded unanimous consent agreements without a recorded vote votes in committee (unless the save america act specifically refers to a committee vote) procedural determinations by the presiding officer deemed passage without an actual vote for clarity: a vote on cloture (senate) regarding the save america act does satisfy the payout criterion a vote on the rule governing debate of the save america act (house) does satisfy the payout criterion if the save america act specifically refers to that rule a vote on a motion to proceed to the save america act (senate) does satisfy the payout criterion a vote on final passage does satisfy the payout criterion a vote on an amendment to the save america act does not satisfy the payout criterion unless the save america act specifically refers to that amendment",265770.0,Will the Senate pass the SAVE America Act (H.R. 7296)?,1577146,Will the Senate pass the SAVE America Act (H.R. 7296)?,,the senate pass the save america act h r 7296,,"This market will resolve to ""Yes"" if the US Senate passes H.R. 7296, the Save America Act, by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If a final vote on passage of the Save America Act is held in the Senate, and the bill fails, this market will resolve immediately to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the United States; however, a consensus of credible reporting may also be used.
Specific: Will the Senate pass the SAVE America Act (H.R. 7296)?","this market will resolve to ""yes"" if the us senate passes h.r. 7296, the save america act, by april 30, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". if a final vote on passage of the save america act is held in the senate, and the bill fails, this market will resolve immediately to ""no"". the primary resolution sources for this market will be congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the united states; however, a consensus of credible reporting may also be used. specific: will the senate pass the save america act (h.r. 7296)?",0.98,0.98,0.98,1.0,"act, america, save, senate","act, america, save, senate",93.0,99.0,1.0,7.0,1.0,99.0,1.0,99.0
KXVOTESAVEAMERICA,When will the Senate vote on the SAVE America Act?,KXVOTESAVEAMERICA-26MAR-APR15,Will the Senate vote on the SAVE America Act?,the senate vote on the save america act,,"If Senate has conducted any recorded vote on the SAVE America Act before Apr 15, 2026, then the market resolves to Yes.
This includes:
Roll call votes
Recorded votes
Yea-and-nay votes
Electronic votes (in the House)
Division/standing votes

The following do NOT satisfy the Payout Criterion:
Voice votes where individual member positions are not recorded
Unanimous consent agreements without a recorded vote
Votes in committee (unless the SAVE America Act specifically refers to a committee vote)
Procedural determinations by the presiding officer
Deemed passage without an actual vote

For clarity:
A vote on cloture (Senate) regarding the SAVE America Act DOES satisfy the Payout Criterion
A vote on the rule governing debate of the SAVE America Act (House) DOES satisfy the Payout Criterion if the SAVE America Act specifically refers to that rule
A vote on a motion to proceed to the SAVE America Act (Senate) DOES satisfy the Payout Criterion
A vote on final passage DOES satisfy the Payout Criterion
A vote on an amendment to the SAVE America Act does NOT satisfy the Payout Criterion unless the SAVE America Act specifically refers to that amendment","if senate has conducted any recorded vote on the save america act before apr 15, 2026, then the market resolves to yes. this includes: roll call votes recorded votes yea-and-nay votes electronic votes (in the house) division/standing votes the following do not satisfy the payout criterion: voice votes where individual member positions are not recorded unanimous consent agreements without a recorded vote votes in committee (unless the save america act specifically refers to a committee vote) procedural determinations by the presiding officer deemed passage without an actual vote for clarity: a vote on cloture (senate) regarding the save america act does satisfy the payout criterion a vote on the rule governing debate of the save america act (house) does satisfy the payout criterion if the save america act specifically refers to that rule a vote on a motion to proceed to the save america act (senate) does satisfy the payout criterion a vote on final passage does satisfy the payout criterion a vote on an amendment to the save america act does not satisfy the payout criterion unless the save america act specifically refers to that amendment",265770.0,Will the Senate pass the SAVE America Act (H.R. 7296)?,1577146,Will the Senate pass the SAVE America Act (H.R. 7296)?,,the senate pass the save america act h r 7296,,"This market will resolve to ""Yes"" if the US Senate passes H.R. 7296, the Save America Act, by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If a final vote on passage of the Save America Act is held in the Senate, and the bill fails, this market will resolve immediately to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the United States; however, a consensus of credible reporting may also be used.
Specific: Will the Senate pass the SAVE America Act (H.R. 7296)?","this market will resolve to ""yes"" if the us senate passes h.r. 7296, the save america act, by april 30, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". if a final vote on passage of the save america act is held in the senate, and the bill fails, this market will resolve immediately to ""no"". the primary resolution sources for this market will be congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the united states; however, a consensus of credible reporting may also be used. specific: will the senate pass the save america act (h.r. 7296)?",0.98,0.98,0.98,15.0,"act, america, save, senate","act, america, save, senate",88.0,94.0,6.0,12.0,1.0,99.0,1.0,99.0
KXVOTESAVEAMERICA,When will the Senate vote on the SAVE America Act?,KXVOTESAVEAMERICA-26MAR-APR01,Will the Senate vote on the SAVE America Act?,the senate vote on the save america act,,"If Senate has conducted any recorded vote on the SAVE America Act before Apr 1, 2026, then the market resolves to Yes.
This includes:
Roll call votes
Recorded votes
Yea-and-nay votes
Electronic votes (in the House)
Division/standing votes

The following do NOT satisfy the Payout Criterion:
Voice votes where individual member positions are not recorded
Unanimous consent agreements without a recorded vote
Votes in committee (unless the SAVE America Act specifically refers to a committee vote)
Procedural determinations by the presiding officer
Deemed passage without an actual vote

For clarity:
A vote on cloture (Senate) regarding the SAVE America Act DOES satisfy the Payout Criterion
A vote on the rule governing debate of the SAVE America Act (House) DOES satisfy the Payout Criterion if the SAVE America Act specifically refers to that rule
A vote on a motion to proceed to the SAVE America Act (Senate) DOES satisfy the Payout Criterion
A vote on final passage DOES satisfy the Payout Criterion
A vote on an amendment to the SAVE America Act does NOT satisfy the Payout Criterion unless the SAVE America Act specifically refers to that amendment","if senate has conducted any recorded vote on the save america act before apr 1, 2026, then the market resolves to yes. this includes: roll call votes recorded votes yea-and-nay votes electronic votes (in the house) division/standing votes the following do not satisfy the payout criterion: voice votes where individual member positions are not recorded unanimous consent agreements without a recorded vote votes in committee (unless the save america act specifically refers to a committee vote) procedural determinations by the presiding officer deemed passage without an actual vote for clarity: a vote on cloture (senate) regarding the save america act does satisfy the payout criterion a vote on the rule governing debate of the save america act (house) does satisfy the payout criterion if the save america act specifically refers to that rule a vote on a motion to proceed to the save america act (senate) does satisfy the payout criterion a vote on final passage does satisfy the payout criterion a vote on an amendment to the save america act does not satisfy the payout criterion unless the save america act specifically refers to that amendment",265770.0,Will the Senate pass the SAVE America Act (H.R. 7296)?,1577146,Will the Senate pass the SAVE America Act (H.R. 7296)?,,the senate pass the save america act h r 7296,,"This market will resolve to ""Yes"" if the US Senate passes H.R. 7296, the Save America Act, by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If a final vote on passage of the Save America Act is held in the Senate, and the bill fails, this market will resolve immediately to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the United States; however, a consensus of credible reporting may also be used.
Specific: Will the Senate pass the SAVE America Act (H.R. 7296)?","this market will resolve to ""yes"" if the us senate passes h.r. 7296, the save america act, by april 30, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". if a final vote on passage of the save america act is held in the senate, and the bill fails, this market will resolve immediately to ""no"". the primary resolution sources for this market will be congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the united states; however, a consensus of credible reporting may also be used. specific: will the senate pass the save america act (h.r. 7296)?",0.98,0.98,0.98,29.0,"act, america, save, senate","act, america, save, senate",71.0,72.0,28.000000000000004,29.0,1.0,99.0,1.0,99.0
KXVOTESAVEAMERICA,When will the Senate vote on the SAVE America Act?,KXVOTESAVEAMERICA-26MAR-MAR27,Will the Senate vote on the SAVE America Act?,the senate vote on the save america act,,"If Senate has conducted any recorded vote on the SAVE America Act before Mar 27, 2026, then the market resolves to Yes.
This includes:
Roll call votes
Recorded votes
Yea-and-nay votes
Electronic votes (in the House)
Division/standing votes

The following do NOT satisfy the Payout Criterion:
Voice votes where individual member positions are not recorded
Unanimous consent agreements without a recorded vote
Votes in committee (unless the SAVE America Act specifically refers to a committee vote)
Procedural determinations by the presiding officer
Deemed passage without an actual vote

For clarity:
A vote on cloture (Senate) regarding the SAVE America Act DOES satisfy the Payout Criterion
A vote on the rule governing debate of the SAVE America Act (House) DOES satisfy the Payout Criterion if the SAVE America Act specifically refers to that rule
A vote on a motion to proceed to the SAVE America Act (Senate) DOES satisfy the Payout Criterion
A vote on final passage DOES satisfy the Payout Criterion
A vote on an amendment to the SAVE America Act does NOT satisfy the Payout Criterion unless the SAVE America Act specifically refers to that amendment","if senate has conducted any recorded vote on the save america act before mar 27, 2026, then the market resolves to yes. this includes: roll call votes recorded votes yea-and-nay votes electronic votes (in the house) division/standing votes the following do not satisfy the payout criterion: voice votes where individual member positions are not recorded unanimous consent agreements without a recorded vote votes in committee (unless the save america act specifically refers to a committee vote) procedural determinations by the presiding officer deemed passage without an actual vote for clarity: a vote on cloture (senate) regarding the save america act does satisfy the payout criterion a vote on the rule governing debate of the save america act (house) does satisfy the payout criterion if the save america act specifically refers to that rule a vote on a motion to proceed to the save america act (senate) does satisfy the payout criterion a vote on final passage does satisfy the payout criterion a vote on an amendment to the save america act does not satisfy the payout criterion unless the save america act specifically refers to that amendment",265770.0,Will the Senate pass the SAVE America Act (H.R. 7296)?,1577146,Will the Senate pass the SAVE America Act (H.R. 7296)?,,the senate pass the save america act h r 7296,,"This market will resolve to ""Yes"" if the US Senate passes H.R. 7296, the Save America Act, by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If a final vote on passage of the Save America Act is held in the Senate, and the bill fails, this market will resolve immediately to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the United States; however, a consensus of credible reporting may also be used.
Specific: Will the Senate pass the SAVE America Act (H.R. 7296)?","this market will resolve to ""yes"" if the us senate passes h.r. 7296, the save america act, by april 30, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". if a final vote on passage of the save america act is held in the senate, and the bill fails, this market will resolve immediately to ""no"". the primary resolution sources for this market will be congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the united states; however, a consensus of credible reporting may also be used. specific: will the senate pass the save america act (h.r. 7296)?",0.98,0.98,0.98,34.0,"act, america, save, senate","act, america, save, senate",56.99999999999999,61.0,39.0,43.00000000000001,1.0,99.0,1.0,99.0
KXVOTESAVEAMERICA,When will the Senate vote on the SAVE America Act?,KXVOTESAVEAMERICA-26MAR-MAR24,Will the Senate vote on the SAVE America Act?,the senate vote on the save america act,,"If Senate has conducted any recorded vote on the SAVE America Act before Mar 24, 2026, then the market resolves to Yes.
This includes:
Roll call votes
Recorded votes
Yea-and-nay votes
Electronic votes (in the House)
Division/standing votes

The following do NOT satisfy the Payout Criterion:
Voice votes where individual member positions are not recorded
Unanimous consent agreements without a recorded vote
Votes in committee (unless the SAVE America Act specifically refers to a committee vote)
Procedural determinations by the presiding officer
Deemed passage without an actual vote

For clarity:
A vote on cloture (Senate) regarding the SAVE America Act DOES satisfy the Payout Criterion
A vote on the rule governing debate of the SAVE America Act (House) DOES satisfy the Payout Criterion if the SAVE America Act specifically refers to that rule
A vote on a motion to proceed to the SAVE America Act (Senate) DOES satisfy the Payout Criterion
A vote on final passage DOES satisfy the Payout Criterion
A vote on an amendment to the SAVE America Act does NOT satisfy the Payout Criterion unless the SAVE America Act specifically refers to that amendment","if senate has conducted any recorded vote on the save america act before mar 24, 2026, then the market resolves to yes. this includes: roll call votes recorded votes yea-and-nay votes electronic votes (in the house) division/standing votes the following do not satisfy the payout criterion: voice votes where individual member positions are not recorded unanimous consent agreements without a recorded vote votes in committee (unless the save america act specifically refers to a committee vote) procedural determinations by the presiding officer deemed passage without an actual vote for clarity: a vote on cloture (senate) regarding the save america act does satisfy the payout criterion a vote on the rule governing debate of the save america act (house) does satisfy the payout criterion if the save america act specifically refers to that rule a vote on a motion to proceed to the save america act (senate) does satisfy the payout criterion a vote on final passage does satisfy the payout criterion a vote on an amendment to the save america act does not satisfy the payout criterion unless the save america act specifically refers to that amendment",265770.0,Will the Senate pass the SAVE America Act (H.R. 7296)?,1577146,Will the Senate pass the SAVE America Act (H.R. 7296)?,,the senate pass the save america act h r 7296,,"This market will resolve to ""Yes"" if the US Senate passes H.R. 7296, the Save America Act, by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If a final vote on passage of the Save America Act is held in the Senate, and the bill fails, this market will resolve immediately to ""No"".

The primary resolution sources for this market will be Congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the United States; however, a consensus of credible reporting may also be used.
Specific: Will the Senate pass the SAVE America Act (H.R. 7296)?","this market will resolve to ""yes"" if the us senate passes h.r. 7296, the save america act, by april 30, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". if a final vote on passage of the save america act is held in the senate, and the bill fails, this market will resolve immediately to ""no"". the primary resolution sources for this market will be congress.gov’s legislation tracker (https://www.congress.gov/bill/119th-congress/house-bill/7296) and other official information from the government of the united states; however, a consensus of credible reporting may also be used. specific: will the senate pass the save america act (h.r. 7296)?",0.98,0.98,0.98,37.0,"act, america, save, senate","act, america, save, senate",,3.0,97.0,,1.0,99.0,1.0,99.0
KXTRUMPUFC,Trump attend another UFC event this year,KXTRUMPUFC-UFC327,Will Donald Trump attend UFC 327?,donald trump attend ufc 327,,"If Donald Trump attends UFC 327, then the market resolves to Yes.
Attendance is confirmed if the person is reported present at the event by any Source Agency, including social media posts by the person themselves. Brief appearances or partial attendance count as attendance.


This market and these products have not been endorsed by Zuffa LLC, d/b/a Ultimate Fighting Championship, UFC. Any references to the “UFC,” or any other associated marks are descriptive only, and do not indicate an endorsement of this product or any affiliation between Zuffa and Kalshi.","if donald trump attends ufc 327, then the market resolves to yes. attendance is confirmed if the person is reported present at the event by any source agency, including social media posts by the person themselves. brief appearances or partial attendance count as attendance. this market and these products have not been endorsed by zuffa llc, d/b/a ultimate fighting championship, ufc. any references to the “ufc,” or any other associated marks are descriptive only, and do not indicate an endorsement of this product or any affiliation between zuffa and kalshi.",211788.0,Will Trump attend UFC 327?,1385620,Will Trump attend UFC 327?,,trump attend ufc 327,,"The UFC 327 event is scheduled for April 11, 2026.

This market will resolve to ""Yes"" if Donald Trump attends UFC 327. Otherwise, this market will resolve to ""No"".

If the event is canceled or postponed beyond April 11, 2026, 11:59 PM ET, this market will resolve to ""No"".

Attending the event is defined as being in physical attendance during any part of the event.

The resolution source will be a consensus of credible reporting.
Specific: Will Trump attend UFC 327?","the ufc 327 event is scheduled for april 11, 2026. this market will resolve to ""yes"" if donald trump attends ufc 327. otherwise, this market will resolve to ""no"". if the event is canceled or postponed beyond april 11, 2026, 11:59 pm et, this market will resolve to ""no"". attending the event is defined as being in physical attendance during any part of the event. the resolution source will be a consensus of credible reporting. specific: will trump attend ufc 327?",1.0,0.585,0.8962,1.0,"327, attend, trump, ufc","attend, trump, ufc",18.0,22.0,78.0,82.0,1.0,99.0,1.0,99.0
KXABRAHAMSA,Abraham Accord Saudi Arabia,KXABRAHAMSA-27-JAN01,"Will Israel and Saudi Arabia normalize relations before Jan 1, 2027?",israel and saudi arabia normalize relations before jan 1 2027,,"If Israel and Saudi Arabia normalize diplomatic relations before Jan 1, 2027, then the market resolves to Yes.
The agreement must be ratified before Jan 1, 2027 to be included within the Payout Criterion.","if israel and saudi arabia normalize diplomatic relations before jan 1, 2027, then the market resolves to yes. the agreement must be ratified before jan 1, 2027 to be included within the payout criterion.",73050.0,Israel and Saudi Arabia normalize relations before 2027?,665218,Israel and Saudi Arabia normalize relations before 2027?,,israel and saudi arabia normalize relations before 2027,,"This market will resolve to ""Yes"" if both Israel and the Kingdom of Saudi Arabia officially announce the establishment of diplomatic relations by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from Israel and the Kingdom of Saudi Arabia, however a consensus of credible reporting may also be used.

Specific: Israel and Saudi Arabia normalize relations before 2027?","this market will resolve to ""yes"" if both israel and the kingdom of saudi arabia officially announce the establishment of diplomatic relations by december 31, 2026, 11:59 pm et. otherwise, this market will resolve to ""no"". the primary resolution source for this market will be official information from israel and the kingdom of saudi arabia, however a consensus of credible reporting may also be used. specific: israel and saudi arabia normalize relations before 2027?",1.0,0.2867,0.8217,1.0,"2027, and, arabia, israel, normalize, relations, saudi","arabia, saudi",21.0,24.0,76.0,79.0,1.0,99.0,1.0,99.0
KXXITAIWAN,Will Xi Jinping visit Taiwan?,KXXITAIWAN-27JAN01,"Will Xi Jinping visit Taiwan before Jan 1, 2027?",xi jinping visit taiwan before jan 1 2027,,"If Xi Jinping has physically travelled to and been present within the geographic boundaries of Taiwan before Jan 1, 2027, then the market resolves to Yes.
Physical presence within the geographic boundaries is required - flying over without landing, airport layovers where the person remains in the airplane or airport, virtual appearances, presence in international waters, or presence solely within embassy/consulate grounds do NOT count as visits. For cities, official municipal boundaries apply. For states/provinces, official boundaries apply. For countries, internationally recognized borders apply. International airports are considered within their host jurisdiction. Evidence must be reported by at least one Source Agency and may include official announcements, news reports with specific location details, verified photographs/videos at identifiable locations, flight records showing arrival, completed official schedules, or social media posts from official accounts. Visits that began before market issuance do not count. For multiple locations with OR logic, visiting any single location satisfies the criterion. For AND logic, all locations must be visited.","if xi jinping has physically travelled to and been present within the geographic boundaries of taiwan before jan 1, 2027, then the market resolves to yes. physical presence within the geographic boundaries is required - flying over without landing, airport layovers where the person remains in the airplane or airport, virtual appearances, presence in international waters, or presence solely within embassy/consulate grounds do not count as visits. for cities, official municipal boundaries apply. for states/provinces, official boundaries apply. for countries, internationally recognized borders apply. international airports are considered within their host jurisdiction. evidence must be reported by at least one source agency and may include official announcements, news reports with specific location details, verified photographs/videos at identifiable locations, flight records showing arrival, completed official schedules, or social media posts from official accounts. visits that began before market issuance do not count. for multiple locations with or logic, visiting any single location satisfies the criterion. for and logic, all locations must be visited.",208023.0,Will Xi Jinping visit US before 2027?,1373746,Will Xi Jinping visit US before 2027?,,xi jinping visit us before 2027,,"If Xi Jinping visits the United States between market creation and December 31, 2026, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".

For the purpose of this market, a ""visit"" is defined as Xi Jinping physically entering the terrestrial or maritime territory of the United States. Whether or not Xi Jinping enters US airspace during the timeframe of this market will have no bearing on a positive resolution.

The primary resolution source for this information will be official information from the US or China, however a consensus of credible reporting will also be used.
Specific: Will Xi Jinping visit US before 2027?","if xi jinping visits the united states between market creation and december 31, 2026, 11:59 pm et, this market will resolve to ""yes"". otherwise, this market will resolve to ""no"". for the purpose of this market, a ""visit"" is defined as xi jinping physically entering the terrestrial or maritime territory of the united states. whether or not xi jinping enters us airspace during the timeframe of this market will have no bearing on a positive resolution. the primary resolution source for this information will be official information from the us or china, however a consensus of credible reporting will also be used. specific: will xi jinping visit us before 2027?",0.86,0.6663,0.8116,1.0,"2027, jinping, visit, xi","jinping, visit, xi",4.0,8.0,92.0,96.0,1.0,99.0,1.0,99.0
