platform,series_ticker,series_title,market_ticker,market_title,status,close_time,rules_text,series_metadata
kalshi,KXTRUMPRESIGN,Trump resign,KXTRUMPRESIGN,Will President Trump resign before his term is up?,active,2029-01-21T15:00:00Z,"If the President of the United States elected for the 2025-2029 term resigns the office, then the market resolves to Yes.
","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/RESIGN.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/RESIGN.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-03-20T22:30:03.210249Z', 'settlement_sources': [{'name': 'Office of the Presidency', 'url': 'https://www.whitehouse.gov/administration/executive-office-of-the-president/'}], 'tags': None, 'ticker': 'KXTRUMPRESIGN', 'title': 'Trump resign'}"
kalshi,KXLEAVESTARMER,Keir Starmer out?,KXLEAVESTARMER-26SEP01,"Will Keir Starmer leave Prime Minister of the United Kingdom before Sep 1, 2026?",active,2026-09-01T03:59:00Z,"If Keir Starmer has either officially announced their intention to leave as Prime Minister of the United Kingdom or has actually left as Prime Minister of the United Kingdom before Sep 1, 2026, then the market resolves to Yes.
An ""official announcement"" means a statement by the person themselves, their authorized representative, or the official body governing the office that the person will be departing from the office. Such announcements must be reported by at least one Source Agency to be considered official. The announcement must not specify they are leaving in more than a year from the statement, in which case the market does not resolve to Yes.

""Leaving office"" means the person no longer holds the office in any capacity, including but not limited to: resignation (effective), termination, removal, impeachment and removal, recall, or the expiration of their term without renewal. Temporary absences such as medical leave, suspension with possibility of return, or delegation of duties while retaining the office do NOT constitute leaving office. Death does NOT satisfy the Payout Criterion for this Contract. Forced departures (termination, impeachment and removal, etc.) satisfy the Payout Criterion even without a prior announcement.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/LEAVEOFFICE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/LEAVEOFFICE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'ABC', 'url': 'https://abcnews.go.com/'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'Bloomberg News', 'url': 'https://www.bloomberg.com/news'}, {'name': 'CBS', 'url': 'https://www.cbsnews.com/'}, {'name': 'CNN', 'url': 'https://www.cnn.com'}, {'name': 'Fox News', 'url': 'https://www.foxnews.com/'}, {'name': 'MSNBC', 'url': 'https://www.msnbc.com/'}, {'name': 'NBC', 'url': 'https://www.nbcnews.com/'}, {'name': 'office or organization where  holds ', 'url': 'https://kalshi.com/'}, {'name': 'official government websites relevant to ', 'url': 'https://kalshi.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com'}, {'name': 'Reuters', 'url': 'https://www.reuters.com'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'the Associated Press', 'url': 'https://apnews.com/'}, {'name': 'The Information', 'url': 'https://www.theinformation.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'The Wall Street Journal', 'url': 'https://www.wsj.com/'}, {'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com/'}], 'tags': ['International'], 'ticker': 'KXLEAVESTARMER', 'title': 'Keir Starmer out?'}"
kalshi,KXLEAVESTARMER,Keir Starmer out?,KXLEAVESTARMER-26JUL01,"Will Keir Starmer leave Prime Minister of the United Kingdom before Jul 1, 2026?",active,2026-07-01T03:59:00Z,"If Keir Starmer has either officially announced their intention to leave as Prime Minister of the United Kingdom or has actually left as Prime Minister of the United Kingdom before Jul 1, 2026, then the market resolves to Yes.
An ""official announcement"" means a statement by the person themselves, their authorized representative, or the official body governing the office that the person will be departing from the office. Such announcements must be reported by at least one Source Agency to be considered official. The announcement must not specify they are leaving in more than a year from the statement, in which case the market does not resolve to Yes.

""Leaving office"" means the person no longer holds the office in any capacity, including but not limited to: resignation (effective), termination, removal, impeachment and removal, recall, or the expiration of their term without renewal. Temporary absences such as medical leave, suspension with possibility of return, or delegation of duties while retaining the office do NOT constitute leaving office. Death does NOT satisfy the Payout Criterion for this Contract. Forced departures (termination, impeachment and removal, etc.) satisfy the Payout Criterion even without a prior announcement.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/LEAVEOFFICE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/LEAVEOFFICE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'ABC', 'url': 'https://abcnews.go.com/'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'Bloomberg News', 'url': 'https://www.bloomberg.com/news'}, {'name': 'CBS', 'url': 'https://www.cbsnews.com/'}, {'name': 'CNN', 'url': 'https://www.cnn.com'}, {'name': 'Fox News', 'url': 'https://www.foxnews.com/'}, {'name': 'MSNBC', 'url': 'https://www.msnbc.com/'}, {'name': 'NBC', 'url': 'https://www.nbcnews.com/'}, {'name': 'office or organization where  holds ', 'url': 'https://kalshi.com/'}, {'name': 'official government websites relevant to ', 'url': 'https://kalshi.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com'}, {'name': 'Reuters', 'url': 'https://www.reuters.com'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'the Associated Press', 'url': 'https://apnews.com/'}, {'name': 'The Information', 'url': 'https://www.theinformation.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'The Wall Street Journal', 'url': 'https://www.wsj.com/'}, {'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com/'}], 'tags': ['International'], 'ticker': 'KXLEAVESTARMER', 'title': 'Keir Starmer out?'}"
kalshi,KXLEAVESTARMER,Keir Starmer out?,KXLEAVESTARMER-26APR01,"Will Keir Starmer leave Prime Minister of the United Kingdom before Apr 1, 2026?",active,2026-04-01T03:59:00Z,"If Keir Starmer has either officially announced their intention to leave as Prime Minister of the United Kingdom or has actually left as Prime Minister of the United Kingdom before Apr 1, 2026, then the market resolves to Yes.
An ""official announcement"" means a statement by the person themselves, their authorized representative, or the official body governing the office that the person will be departing from the office. Such announcements must be reported by at least one Source Agency to be considered official. The announcement must not specify they are leaving in more than a year from the statement, in which case the market does not resolve to Yes.

""Leaving office"" means the person no longer holds the office in any capacity, including but not limited to: resignation (effective), termination, removal, impeachment and removal, recall, or the expiration of their term without renewal. Temporary absences such as medical leave, suspension with possibility of return, or delegation of duties while retaining the office do NOT constitute leaving office. Death does NOT satisfy the Payout Criterion for this Contract. Forced departures (termination, impeachment and removal, etc.) satisfy the Payout Criterion even without a prior announcement.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/LEAVEOFFICE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/LEAVEOFFICE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'ABC', 'url': 'https://abcnews.go.com/'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'Bloomberg News', 'url': 'https://www.bloomberg.com/news'}, {'name': 'CBS', 'url': 'https://www.cbsnews.com/'}, {'name': 'CNN', 'url': 'https://www.cnn.com'}, {'name': 'Fox News', 'url': 'https://www.foxnews.com/'}, {'name': 'MSNBC', 'url': 'https://www.msnbc.com/'}, {'name': 'NBC', 'url': 'https://www.nbcnews.com/'}, {'name': 'office or organization where  holds ', 'url': 'https://kalshi.com/'}, {'name': 'official government websites relevant to ', 'url': 'https://kalshi.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com'}, {'name': 'Reuters', 'url': 'https://www.reuters.com'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'the Associated Press', 'url': 'https://apnews.com/'}, {'name': 'The Information', 'url': 'https://www.theinformation.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'The Wall Street Journal', 'url': 'https://www.wsj.com/'}, {'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com/'}], 'tags': ['International'], 'ticker': 'KXLEAVESTARMER', 'title': 'Keir Starmer out?'}"
kalshi,KXIMPEACHCABINET,Impeach a member of Trump's cabinet,KXIMPEACHCABINET-29JAN20,"Will any member of the Cabinet (defined as: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, White House Chief of Staff) be impeached before Jan 20, 2029?",active,2029-01-20T15:00:00Z,"If a member of the cabinet is impeached by the U.S. House of Representatives before Jan 20, 2029, then the market resolves to Yes.
The cabinet is defined as the following: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, and White House Chief of Staff.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/IMPEACHMENT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/IMPEACHMENT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}], 'tags': ['Congress', 'Trump'], 'ticker': 'KXIMPEACHCABINET', 'title': ""Impeach a member of Trump's cabinet""}"
kalshi,KXIMPEACHCABINET,Impeach a member of Trump's cabinet,KXIMPEACHCABINET-28JAN01,"Will any member of the Cabinet (defined as: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, White House Chief of Staff) be impeached before Jan 1, 2028?",active,2028-01-01T15:00:00Z,"If a member of the cabinet is impeached by the U.S. House of Representatives before Jan 1, 2028, then the market resolves to Yes.
The cabinet is defined as the following: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, and White House Chief of Staff.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/IMPEACHMENT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/IMPEACHMENT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}], 'tags': ['Congress', 'Trump'], 'ticker': 'KXIMPEACHCABINET', 'title': ""Impeach a member of Trump's cabinet""}"
kalshi,KXIMPEACHCABINET,Impeach a member of Trump's cabinet,KXIMPEACHCABINET-27JAN01,"Will any member of the Cabinet (defined as: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, White House Chief of Staff) be impeached before Jan 1, 2027?",active,2027-01-01T15:00:00Z,"If a member of the cabinet is impeached by the U.S. House of Representatives before Jan 1, 2027, then the market resolves to Yes.
The cabinet is defined as the following: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, and White House Chief of Staff.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/IMPEACHMENT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/IMPEACHMENT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}], 'tags': ['Congress', 'Trump'], 'ticker': 'KXIMPEACHCABINET', 'title': ""Impeach a member of Trump's cabinet""}"
kalshi,KXIMPEACHCABINET,Impeach a member of Trump's cabinet,KXIMPEACHCABINET-26JUL01,"Will any member of the Cabinet (defined as: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, White House Chief of Staff) be impeached before Jul 1, 2026?",active,2026-07-01T14:00:00Z,"If a member of the cabinet is impeached by the U.S. House of Representatives before Jul 1, 2026, then the market resolves to Yes.
The cabinet is defined as the following: the Vice President, Secretary of State, Secretary of the Treasury, Secretary of Defense, Attorney General, Secretary of the Interior, Secretary of Agriculture, Secretary of Commerce, Secretary of Labor, Secretary of Health and Human Services, Secretary of Housing and Urban Development, Secretary of Transportation, Secretary of Energy, Secretary of Education, Secretary of Veterans Affairs, Secretary of Homeland Security, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, Director of National Intelligence, Trade Representative, Administrator of the Small Business Administration, and White House Chief of Staff.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/IMPEACHMENT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/IMPEACHMENT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}], 'tags': ['Congress', 'Trump'], 'ticker': 'KXIMPEACHCABINET', 'title': ""Impeach a member of Trump's cabinet""}"
kalshi,KXTRUMPATTEND,Will Trump attend event,KXTRUMPATTEND,Will Donald J. Trump attend The 2026 FIFA World Cup Final?,active,2026-07-20T14:00:00Z,"If Donald J. Trump attends The 2026 FIFA World Cup Final, then the market resolves to Yes.
Attendance is confirmed if the person is reported present at the event by any Source Agency, including social media posts by the person themselves. Brief appearances or partial attendance count as attendance.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/ATTEND.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/ATTEND.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-03-21T22:49:18.470441Z', 'settlement_sources': [{'name': 'ABC', 'url': 'https://abcnews.go.com/'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'Billboard', 'url': 'https://www.billboard.com/charts/hot-100/'}, {'name': 'CBS', 'url': 'https://www.cbsnews.com/'}, {'name': 'CNN', 'url': 'https://www.cnn.com/'}, {'name': 'Fox News', 'url': 'https://www.foxnews.com/'}, {'name': 'MSNBC', 'url': 'https://www.msnbc.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com/'}, {'name': 'Reuters', 'url': 'https://www.reuters.com/'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'the Associated Press', 'url': 'https://apnews.com/'}, {'name': 'The Information', 'url': 'https://www.theinformation.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'The Wall Street Journal', 'url': 'https://www.wsj.com/'}, {'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com/'}, {'name': 'USA Today', 'url': 'https://www.usatoday.com/'}, {'name': 'Vogue', 'url': 'https://www.vogue.com/'}], 'tags': ['Trump'], 'ticker': 'KXTRUMPATTEND', 'title': 'Will Trump attend event'}"
kalshi,KXELECTIONBILL,Will proof of citizenship be required for federal voter registration?,KXELECTIONBILL-27JAN01,"Will legislation that requires proof of U.S. citizenship as a condition of registering to vote in federal elections become law before Jan 1, 2027?",active,2027-01-01T15:00:00Z,"If legislation that requires proof of U.S. citizenship as a condition of registering to vote in federal elections has become law before Jan 1, 2027, then the market resolves to Yes.
An example of this is H.R. 22 (119th) — SAVE Act and H.R. 7296 (119th) — SAVE America Act.

The bill must pass the full chamber (not just committee) for House or Senate passage. For ""become law"" markets, the bill must be signed by the President or become law through veto override. Presidential pocket vetoes that expire resolve to No. Joint resolutions are treated as bills. Treaties require two-thirds Senate approval for passage. The market resolves based on the first occurrence of the specified milestone.","{'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/BILL.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/BILL.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-03-21T22:51:53.999353Z', 'settlement_sources': [{'name': 'Library of Congress', 'url': 'https://congress.gov'}], 'tags': ['Congress'], 'ticker': 'KXELECTIONBILL', 'title': 'Will proof of citizenship be required for federal voter registration?'}"
